id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
91,,CITY EAST,QLD,4002,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Unit 4002/79 Albert St, Brisbane City QLD 4000, Australia","Brisbane City QLD 4000, Australia",2.4,0.327,8.175
92,,CLAYFIELD,QLD,4011,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Clayfield QLD 4011, Australia","Brisbane City QLD 4000, Australia",15.55,10.154,39.179421221864956
93,,CLEAR MOUNTAIN,QLD,4500,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Clear Mountain QLD 4500, Australia","Brisbane City QLD 4000, Australia",42.93333333333333,28.637,40.02065217391305
94,,CLEVELAND,QLD,4163,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cleveland QLD 4163, Australia","Brisbane City QLD 4000, Australia",40.233333333333334,35.253,52.572825186412594
95,,CLEVELAND DC,QLD,4163,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Stockland Cleveland Shopping Centre, 85/90 Middle St, Cleveland QLD 4163, Australia","Brisbane City QLD 4000, Australia",37.416666666666664,29.303,46.98922048997773
96,,CLONTARF,QLD,4019,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Clontarf QLD 4019, Australia","Brisbane City QLD 4000, Australia",38.46666666666667,39.181,61.11421143847486
97,,CLONTARF BEACH,QLD,4019,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Clontarf Beach, Brisbane QLD, Australia","Brisbane City QLD 4000, Australia",32.85,35.87,65.51598173515981
98,,CLONTARF DC,QLD,4019,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"4/114-116 Hornibrook Esplanade, Clontarf QLD 4019, Australia","Brisbane City QLD 4000, Australia",35.81666666666667,37.456,62.746207538389946
99,,CLOSEBURN,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Closeburn QLD 4520, Australia","Brisbane City QLD 4000, Australia",37.28333333333333,27.755,44.66607063030845
id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
101,,COOCHIN CREEK,QLD,4519,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Coochin Creek QLD 4519, Australia","Brisbane City QLD 4000, Australia",70.85,84.469,71.5333803810868
102,,COOPERS PLAINS,QLD,4108,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Coopers Plains QLD 4108, Australia","Brisbane City QLD 4000, Australia",19.75,14.276,43.37012658227848
103,,COORPAROO,QLD,4151,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Coorparoo QLD 4151, Australia","Brisbane City QLD 4000, Australia",12.666666666666666,6.217,29.448947368421052
104,,COORPAROO DC,QLD,4151,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"177 Old Cleveland Rd, Coorparoo QLD 4151, Australia","Brisbane City QLD 4000, Australia",9.75,6.292,38.72
105,,CORINDA,QLD,4075,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Corinda QLD 4075, Australia","Brisbane City QLD 4000, Australia",22.7,14.046,37.12599118942732
106,,CORNUBIA,QLD,4130,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Cornubia QLD 4130, Australia","Brisbane City QLD 4000, Australia",28.516666666666666,31.145,65.53009935710111
107,,CRESTMEAD,QLD,4132,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Crestmead QLD 4132, Australia","Brisbane City QLD 4000, Australia",31.55,32.364,61.54801901743264
108,,CROHAMHURST,QLD,4519,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Crohamhurst QLD 4519, Australia","Brisbane City QLD 4000, Australia",77.8,87.412,67.41285347043703
109,,D'AGUILAR,QLD,4514,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"D'Aguilar QLD 4514, Australia","Brisbane City QLD 4000, Australia",63.65,72.75,68.57816182246661
